weights,return,volatility,sharpe_ratio
[0.14384089 0.29791751 0.5582416 ],0.10262347723971676,0.16410560792359552,0.503477475786109
[0.48526783 0.51060798 0.00412419],0.06433458011508558,0.29055709618087755,0.15258474392064555
[0.44402534 0.36288212 0.19309254],0.08424383777414515,0.2838115295514793,0.2263609159066677
[0.08559426 0.24108649 0.67331925],0.11172882561640735,0.156140548794774,0.5874760036675207
[0.20919114 0.33578409 0.45502477],0.09565093746995093,0.18235456633538163,0.41485628240762423
[0.15824714 0.42290762 0.41884524],0.08647749023253479,0.15108052685267204,0.44001362463715193
[0.23981342 0.473611   0.28657558],0.0773438671022357,0.17767866389345857,0.3227391845799831
[0.30585527 0.03960837 0.65453637],0.12944705835093598,0.261413647247178,0.4186738508240505
[0.60359806 0.06181375 0.33458819],0.11650612059146503,0.3910835127171639,0.24676601660080558
[0.70259919 0.18531577 0.11208504],0.09765989456484342,0.4270045409326215,0.1818713552676191
[0.28503645 0.57400086 0.14096269],0.06322738681318227,0.18753098101420482,0.23050797569233608
[0.40214101 0.45567963 0.14217936],0.07405061017357675,0.2546359704502785,0.2122662013461721
[0.42134705 0.21279986 0.36585309],0.10381475911963187,0.28917631231862745,0.2898396429762926
[0.50296336 0.42535501 0.07168164],0.07440828039281219,0.30663489621336865,0.17743668794615197
[0.62215241 0.23892433 0.13892325],0.09369075220505337,0.3823621198352566,0.1927250331094606
[0.03114431 0.45132776 0.51752793],0.08725511245014435,0.11028300639529905,0.6098411228387692
[0.02196549 0.67811028 0.29992422],0.059164908352682115,0.07596044199728276,0.5155961092759718
[0.42713183 0.11543799 0.45743017],0.11581146802235359,0.30317199413890283,0.31603007492326657
[0.2647084  0.64116276 0.09412884],0.055509335747338816,0.17173159714066377,0.20677229082225007
[0.24728688 0.08227289 0.67044023],0.12610205225972382,0.23272093475805167,0.4559196720743358
[0.48869629 0.14367886 0.36762486],0.11017368441219014,0.3280777044983725,0.2748546553934983
[0.42964805 0.29189239 0.27845956],0.0936255500860202,0.28430743181444795,0.25896456387419237
[0.19628146 0.07555995 0.72815858],0.12868326321267348,0.21557654657752154,0.5041516108227982
[0.48085145 0.33809601 0.18105253],0.08609156622314282,0.30397986967881874,0.21742086504930186
[0.17705923 0.36808026 0.45486052],0.0927024306098975,0.16562669644319522,0.4389535755477207
[0.38418747 0.33775561 0.27805692],0.08943264725137132,0.25814205102273013,0.2689706964684246
[0.07352817 0.14124398 0.78522785],0.12464534522883639,0.16993386141758735,0.6158004317437706
[0.84567152 0.01282538 0.1415031 ],0.11438144857032558,0.5137376794975369,0.18371525456850996
[0.8000056  0.00610292 0.19389148],0.11678165433141993,0.49184679139145654,0.19677195424538668
[0.28993798 0.36558109 0.34448094],0.08916369916696815,0.21228059236097294,0.3258126350493624
